Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP,Data Source,SimpleTransient : TMD : THESISTRANSIENTTEST_SIMP
Element,1,Element,2,Element,3,Element,4,Element,5
,,,,,,,,,
,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.25999999418854713,32.21065063438281,0.25999999418854713,33.78165317815681,0.25999999418854713,39.32984714409757,0.25999999418854713,40.092587481050806,0.25999999418854713,0.023166170712678572
0.2699999939650297,32.41285859167955,0.2699999939650297,33.886000903487265,0.2699999939650297,39.3115575601354,0.2699999939650297,39.81642429955406,0.2699999939650297,0.023964789503031943
0.2799999937415123,32.60549949169188,0.2799999937415123,33.98516071717072,0.2799999937415123,39.29366745487801,0.2799999937415123,39.54631688713495,0.2799999937415123,0.02475792966997904
0.2899999935179949,32.78899490378378,0.2899999935179949,34.07922728751181,0.2899999935179949,39.27615839219872,0.2899999935179949,39.282096460380295,0.2899999935179949,0.02554571074944172
0.29999999329447746,32.9637356520178,0.29999999329447746,34.16830343424145,0.29999999329447746,39.25901232592135,0.29999999329447746,39.02359838814378,0.29999999329447746,0.026328248940838968
0.30999999307096004,33.130085428355954,0.30999999307096004,34.252498212149,0.30999999307096004,39.24221162246022,0.30999999307096004,38.77066220863084,0.30999999307096004,0.027105657190368972
0.3199999928474426,33.28838389395106,0.3199999928474426,34.331925303772735,0.3199999928474426,39.22573907752164,0.3199999928474426,38.52313162435562,0.3199999928474426,0.02787804527440997
0.3299999926239252,33.43894934447469,0.3299999926239252,34.40670167407847,0.3299999926239252,39.20957792783702,0.3299999926239252,38.28085447889198,0.3299999926239252,0.028645519882636482
0.3399999924004078,33.58193107050299,0.3399999924004078,34.476961929930425,0.3399999924004078,39.19371188451108,0.3399999924004078,38.043682820519955,0.3399999924004078,0.029408184701537873
0.3499999921768904,33.71778939583059,0.3499999921768904,34.54280305093899,0.3499999921768904,39.17812509818976,0.3499999921768904,37.81147268774257,0.3499999921768904,0.030166140496426887
0.35999999195337296,33.84678728383051,0.35999999195337296,34.60434771466704,0.35999999195337296,39.16280213774837,0.35999999195337296,37.58408398396271,0.35999999195337296,0.03091948519004851
