Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit,Data Source,StandardOrbit
Element,Box:face1,Element,Box:face1,Element,Box:face1,Element,Box:face3,Element,Box:face3,Element,Box:face3,Element,Box:face5,Element,Box:face5,Element,Box:face5,Element,Box:face7,Element,Box:face7,Element,Box:face7,Element,Box:face9,Element,Box:face9,Element,Box:face9,Element,Box:face11,Element,Box:face11,Element,Box:face11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power,Time[s],Albedo Absorbed Heat Power,Time[s],Planet Absorbed Heat Power,Time[s],Solar Absorbed Heat Power
2042.8476027318256,0.0,2042.8476027318256,0.3148463994066997,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.32565960659893983,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.32708485952569244,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,1.0157676284131183,2042.8476027318256,0.0,2042.8476027318256,0.0,2042.8476027318256,0.3143525719718427,2042.8476027318256,0.0
2156.339136216927,0.0,2156.339136216927,0.3148463994066998,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.3256596065989399,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.32708485952569233,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,1.015767628413118,2156.339136216927,0.0,2156.339136216927,0.0,2156.339136216927,0.3143525719718426,2156.339136216927,0.0
2269.830669702028,0.0,2269.830669702028,0.3148463994066997,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.3256596065989399,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.32708485952569244,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,1.0157676284131183,2269.830669702028,0.0,2269.830669702028,0.0,2269.830669702028,0.31435257197184263,2269.830669702028,0.0
2383.322203187129,0.0,2383.322203187129,0.31484639940669956,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.3256596065989392,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.32708485952569233,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,1.0157676284131179,2383.322203187129,0.0,2383.322203187129,0.0,2383.322203187129,0.31435257197184235,2383.322203187129,0.0
2496.8137366722303,0.0,2496.8137366722303,0.31484639940670023,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.3256596065989395,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.3270848595256926,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,1.0157676284131179,2496.8137366722303,0.0,2496.8137366722303,0.0,2496.8137366722303,0.31435257197184235,2496.8137366722303,0.0
2610.305270157332,0.0,2610.305270157332,0.31484639940670034,2610.305270157332,0.0,2610.305270157332,0.0,2610.305270157332,0.3256596065989395,2610.305270157332,0.0,2610.305270157332,0.0,2610.305270157332,0.0,2610.305270157332,0.0,2610.305270157332,0.0,2610.305270157332,0.3270848595256926,2610.305270157332,0.0,2610.305270157332,0.0,2610.305270157332,1.0157676284131179,2610.305270157332,0.0,2610.305270157332,0.0,2610.305270157332,0.31435257197184224,2610.305270157332,0.0
2723.796803642433,0.0,2723.796803642433,0.3148463994067001,2723.796803642433,0.0,2723.796803642433,0.0,2723.796803642433,0.32565960659893944,2723.796803642433,0.0,2723.796803642433,0.0,2723.796803642433,0.0,2723.796803642433,0.0,2723.796803642433,0.0,2723.796803642433,0.3270848595256926,2723.796803642433,0.0,2723.796803642433,0.0,2723.796803642433,1.0157676284131179,2723.796803642433,0.0,2723.796803642433,0.0,2723.796803642433,0.31435257197184235,2723.796803642433,0.0
2837.2883371275343,0.0,2837.2883371275343,0.31484639940670045,2837.2883371275343,0.0,2837.2883371275343,0.0,2837.2883371275343,0.3256596065989392,2837.2883371275343,0.0,2837.2883371275343,0.0,2837.2883371275343,0.0,2837.2883371275343,0.0,2837.2883371275343,0.0,2837.2883371275343,0.3270848595256929,2837.2883371275343,0.0,2837.2883371275343,0.0,2837.2883371275343,1.0157676284131179,2837.2883371275343,0.0,2837.2883371275343,0.0,2837.2883371275343,0.31435257197184213,2837.2883371275343,0.0
2950.779870612635,0.0,2950.779870612635,0.31484639940669984,2950.779870612635,0.0,2950.779870612635,0.0,2950.779870612635,0.32565960659893983,2950.779870612635,0.0,2950.779870612635,0.0,2950.779870612635,0.0,2950.779870612635,0.0,2950.779870612635,0.0,2950.779870612635,0.3270848595256925,2950.779870612635,0.0,2950.779870612635,0.0,2950.779870612635,1.015767628413118,2950.779870612635,0.0,2950.779870612635,0.0,2950.779870612635,0.3143525719718425,2950.779870612635,0.0
3064.271404097736,0.0,3064.271404097736,0.31484639940669945,3064.271404097736,0.0,3064.271404097736,0.0,3064.271404097736,0.32565960659893983,3064.271404097736,0.0,3064.271404097736,0.0,3064.271404097736,0.0,3064.271404097736,0.0,3064.271404097736,0.0,3064.271404097736,0.32708485952569244,3064.271404097736,0.0,3064.271404097736,0.0,3064.271404097736,1.0157676284131183,3064.271404097736,0.0,3064.271404097736,0.0,3064.271404097736,0.31435257197184296,3064.271404097736,0.0
