Type,Value,Type,Value
Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA,Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA
Element,1,Element,2
,,,
,,,
Time[s],Temperature,Time[s],Temperature
823.0265200000002,-19.39709395128008,823.0265200000002,77.08036255878791
845.2704800000002,-19.95147900237661,845.2704800000002,74.68455594490868
867.5144400000003,-20.522404375667058,867.5144400000003,72.20838538938258
889.7584000000003,-21.110369377228484,889.7584000000003,69.65827213251858
912.0023600000003,-21.716375448391616,912.0023600000003,67.01461013019096
934.2463200000003,-22.341749982447485,934.2463200000003,64.26075091334384
956.4902800000003,-22.987429199615008,956.4902800000003,61.40614702892938
978.7342400000003,-23.654129122087674,978.7342400000003,58.45726655742421
1000.9782000000004,-24.342421941377538,1000.9782000000004,55.418287100610094
1023.2221600000004,-25.053286409398307,1023.2221600000004,52.27238095669552
1045.4661200000003,-25.78799374285797,1045.4661200000003,49.00457552694187
1067.7100800000003,-26.547559398375174,1067.7100800000003,45.62045504960896
1089.9540400000003,-27.33286049704365,1089.9540400000003,42.123265903479314
1112.1980000000003,-28.14469445545415,1112.1980000000003,38.51439573488546
1134.4419600000003,-28.984031260836527,1134.4419600000003,34.779606212936805
1156.6859200000004,-29.852104931960618,1156.6859200000004,30.905485860479363
1178.9298800000004,-30.750174752217326,1178.9298800000004,26.893260373971863
1201.1738400000004,-31.679446693654732,1201.1738400000004,22.74234619181953
1223.4178000000004,-32.64111717666761,1223.4178000000004,18.45064312281477
1245.6617600000004,-33.63517191419671,1245.6617600000004,14.006090613320904
1267.9057200000004,-34.66191555001425,1267.9057200000004,9.396565933572038
1290.1496800000004,-35.72318955305821,1290.1496800000004,4.6183900515127
1312.3936400000005,-36.8208584749463,1312.3936400000005,-0.3335491947799709
1334.6376000000005,-37.95684374564322,1334.6376000000005,-5.465649859915796
1356.8815600000005,-39.12674001868918,1356.8815600000005,-10.601401228931875
1379.1255200000005,-40.322940981680475,1379.1255200000005,-15.58317796660067
1401.3694800000005,-41.54162425781699,1401.3694800000005,-20.451930424832288
1423.6134400000005,-42.78008569962004,1423.6134400000005,-25.241798360926637
1445.8574000000006,-44.036522043959856,1445.8574000000006,-29.98159775328961
1468.1013600000006,-45.307218968844076,1468.1013600000006,-34.50720350074384
1490.3453200000006,-46.58533457805033,1490.3453200000006,-38.66613325489921
1512.5892800000006,-47.86396049974664,1512.5892800000006,-42.5039537401082
1534.8332400000006,-49.13754034605992,1534.8332400000006,-46.058716604808694
1557.0772000000006,-50.4016176143742,1557.0772000000006,-49.36248426038196
1579.3211600000006,-51.65263393368392,1579.3211600000006,-52.44249134342042
1601.5651200000007,-52.88776657045951,1601.5651200000007,-55.32204092017681
1623.8090800000007,-54.104796825248236,1623.8090800000007,-58.021204551030166
1646.0530400000007,-55.302002925811585,1646.0530400000007,-60.557375259943846
1668.2970000000007,-56.47807248006491,1668.2970000000007,-62.94570876483019
1690.5409600000007,-57.63203064241053,1690.5409600000007,-65.19947882597633
1712.7849200000007,-58.76318097236759,1712.7849200000007,-67.33036587347367
1735.0288800000008,-59.8710565956065,1735.0288800000008,-69.34869328515647
1757.2728400000008,-60.955379764680906,1757.2728400000008,-71.2636222149817
1779.5168000000008,-62.01602829585305,1779.5168000000008,-73.08331332431986
1801.7607600000008,-63.05300765556673,1801.7607600000008,-74.81506187789105
1824.0047200000008,-64.06642770458971,1824.0047200000008,-76.46541124786678
1846.2486800000008,-65.05648329395675,1846.2486800000008,-78.04024879536951
1868.4926400000008,-66.02343805537895,1868.4926400000008,-79.5448872773353
1890.7366000000009,-66.96761084792587,1890.7366000000009,-80.98413429346056
1912.9805600000009,-67.88936441879267,1912.9805600000009,-82.36235179574544
1935.224520000001,-68.78909591366114,1935.224520000001,-83.68350729766486
1957.468480000001,-69.6672289352931,1957.468480000001,-84.95121811595034
1979.712440000001,-70.52420690047965,1979.712440000001,-86.16878973654015
2001.956400000001,-71.36048748760662,2001.956400000001,-87.3392492033384
2024.200360000001,-72.17653800169349,2024.200360000001,-88.46537427334684
2046.444320000001,-72.97283151226063,2046.444320000001,-89.54971895636767
