Type,Value,Type,Value
Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA,Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA
Element,1,Element,2
,,,
,,,
Time[s],Temperature,Time[s],Temperature
823.0265200000002,-13.473900955574495,823.0265200000002,77.65446108648761
845.2704800000002,-14.249944251402516,845.2704800000002,75.25246826903914
867.5144400000003,-15.052301337564788,867.5144400000003,72.7691738588809
889.7584000000003,-15.880507742572236,889.7584000000003,70.21099071083525
912.0023600000003,-16.736236952198748,912.0023600000003,67.5582986536949
934.2463200000003,-17.62143577925051,934.2463200000003,64.79442333759204
956.4902800000003,-18.5361014013064,956.4902800000003,61.92878368781139
978.7342400000003,-19.480133071408257,978.7342400000003,58.967811753047094
1000.9782000000004,-20.45339883774545,1000.9782000000004,55.91564689730245
1023.2221600000004,-21.457414426094815,1023.2221600000004,52.75541582366488
1045.4661200000003,-22.49396072143188,1045.4661200000003,49.47208702348825
1067.7100800000003,-23.56339858970854,1067.7100800000003,46.071176439481384
1089.9540400000003,-24.6660475369456,1089.9540400000003,42.555857452133736
1112.1980000000003,-25.802236873092777,1112.1980000000003,38.92743946367706
1134.4419600000003,-26.972772869776215,1134.4419600000003,35.17160111235161
1156.6859200000004,-28.178775263315504,1156.6859200000004,31.274841722527203
1178.9298800000004,-29.421209327704226,1178.9298800000004,27.238286853890237
1201.1738400000004,-30.70104997182872,1201.1738400000004,23.061239388064603
1223.4178000000004,-32.01932175498035,1223.4178000000004,18.7414719727069
1245.6617600000004,-33.370621899829786,1245.6617600000004,14.266838666842899
1267.9057200000004,-34.750380980913754,1267.9057200000004,9.625215841726417
1290.1496800000004,-36.161285907193346,1290.1496800000004,4.8129298413904875
1312.3936400000005,-37.605973233236284,1312.3936400000005,-0.17518009197545387
1334.6376000000005,-39.08707540487802,1334.6376000000005,-5.345605874816608
1356.8815600000005,-40.583226426931134,1356.8815600000005,-10.52179146910604
1379.1255200000005,-42.07130303618372,1379.1255200000005,-15.54576018050107
1401.3694800000005,-43.5508756677443,1401.3694800000005,-20.458016411819642
1423.6134400000005,-45.022291951190645,1423.6134400000005,-25.292347691640593
1445.8574000000006,-46.48648869771887,1445.8574000000006,-30.07729485619353
1468.1013600000006,-47.93977901514954,1468.1013600000006,-34.64848434048841
1490.3453200000006,-49.37531333511935,1490.3453200000006,-38.85315812654236
1512.5892800000006,-50.788597548468836,1512.5892800000006,-42.736604810879015
1534.8332400000006,-52.17628046644975,1534.8332400000006,-46.336630323878815
1557.0772000000006,-53.53591302252536,1557.0772000000006,-49.685081898590234
1579.3211600000006,-54.86575964786479,1579.3211600000006,-52.80900730126275
1601.5651200000007,-56.16464967536703,1601.5651200000007,-55.731548664136895
1623.8090800000007,-57.43185970259433,1623.8090800000007,-58.47264017448118
1646.0530400000007,-58.66702006928388,1646.0530400000007,-61.049558746596425
1668.2970000000007,-59.870040236673624,1668.2970000000007,-63.47736307957775
1690.5409600000007,-61.041049066048195,1690.5409600000007,-65.76924698245813
1712.7849200000007,-62.18034690070919,1712.7849200000007,-67.93682613780013
1735.0288800000008,-63.288367041223246,1735.0288800000008,-69.99037267629124
1757.2728400000008,-64.36564472644967,1757.2728400000008,-71.93900845771962
1779.5168000000008,-65.41279213416583,1779.5168000000008,-73.79086540292971
1801.7607600000008,-66.43047822531045,1801.7607600000008,-75.55321932881746
1824.0047200000008,-67.41941249709535,1824.0047200000008,-77.23260231939611
1846.2486800000008,-68.38033189887729,1846.2486800000008,-78.83489759150004
1868.4926400000008,-69.31399031295807,1868.4926400000008,-80.3654199926574
1890.7366000000009,-70.2211501195854,1890.7366000000009,-81.82898463589297
1912.9805600000009,-71.10257545832337,1912.9805600000009,-83.22996568462952
1935.224520000001,-71.95902687195857,1935.224520000001,-84.57234691605697
1957.468480000001,-72.79125707827897,1957.468480000001,-85.85976538799576
1979.712440000001,-73.6000076625487,1979.712440000001,-87.09554929355085
2001.956400000001,-74.3860065217404,2001.956400000001,-88.28275089560451
2024.200360000001,-75.1499659224765,2024.200360000001,-89.42417527874964
